"Subject","Day","LGRD"
2,60,0.466666666666667
2,61,0.591666666666667
2,62,0.258333333333333
2,63,0.508333333333333
2,64,0.466666666666667
2,65,0.0916666666666667
2,66,0.508333333333333
2,67,0.0916666666666667
2,68,0.466666666666667
2,69,0.133333333333333
2,70,0.508333333333333
3,1,0.05
3,2,0.05
3,3,-0.0333333333333334
3,4,0.0916666666666667
3,5,0.133333333333333
3,6,0.216666666666667
3,7,-0.116666666666667
3,8,0.258333333333333
3,9,0.00833333333333333
3,10,0.133333333333333
3,11,0.216666666666667
3,12,0.425
3,13,0.55
3,14,0.216666666666667
3,15,0.175
3,16,-0.116666666666667
3,17,0.341666666666667
3,18,0.00833333333333333
3,19,0.133333333333333
3,20,0.341666666666667
3,21,0.175
3,22,0.258333333333333
3,23,0.0916666666666667
3,24,0.341666666666667
3,25,0.258333333333333
3,26,0.133333333333333
3,27,0.216666666666667
3,28,0.3
3,29,0.591666666666667
3,30,-0.0333333333333334
3,31,0.175
3,32,0.508333333333333
3,33,0.3
3,34,0.508333333333333
3,35,0.133333333333333
3,36,0.383333333333333
3,37,0.425
3,38,0.3
3,39,0.3
3,40,0.216666666666667
3,41,0.3
3,42,0.0916666666666667
3,43,0.341666666666667
3,44,0.0916666666666667
3,45,0.216666666666667
3,46,0.175
3,47,0.341666666666667
3,48,0.258333333333333
3,49,0.05
3,50,0.3
3,51,0.175
3,52,0.05
3,53,0.508333333333333
3,54,0.425
3,55,0.55
3,56,0.133333333333333
3,57,0.383333333333333
3,58,0.00833333333333333
3,59,0.175
3,60,0.00833333333333333
3,61,0.258333333333333
3,62,0.383333333333333
3,63,0.3
3,64,0.466666666666667
3,65,0.175
3,66,0.216666666666667
3,67,0.216666666666667
3,68,0.425
3,69,0.55
3,70,0.175
4,1,0.258333333333333
4,2,0.216666666666667
4,3,0.133333333333333
4,4,0.3
4,5,0.508333333333333
4,6,0.383333333333333
4,7,0.591666666666667
4,8,0.216666666666667
4,9,0.55
4,10,0.425
4,11,0.55
4,12,0.216666666666667
4,13,0.425
4,14,0.216666666666667
4,15,0.383333333333333
4,16,0.508333333333333
4,17,0.466666666666667
4,18,0.383333333333333
4,19,0.425
4,20,0.508333333333333
4,21,0.175
4,22,0.466666666666667
4,23,0.3
4,24,0.258333333333333
4,25,0.3
4,26,0.508333333333333
4,27,0.216666666666667
4,28,0.425
4,29,0.0916666666666667
4,30,0.55
4,31,0.341666666666667
4,32,0.383333333333333
4,33,0.216666666666667
4,34,0.425
4,35,0.425
4,36,0.425
4,37,0.383333333333333
4,38,0.425
4,39,0.3
4,40,0.341666666666667
4,41,0.466666666666667
4,42,0.383333333333333
4,43,0.216666666666667
4,44,0.425
4,45,0.3
4,46,0.508333333333333
4,47,0.466666666666667
4,48,0.633333333333333
4,49,0.383333333333333
4,50,0.383333333333333
4,51,0.175
4,52,0.3
4,53,0.591666666666667
4,54,0.508333333333333
4,55,0.55
4,56,0.466666666666667
4,57,0.3
4,58,0.175
4,59,0.55
4,60,0.0916666666666667
4,61,0.466666666666667
4,62,0.258333333333333
4,63,0.216666666666667
4,64,0.341666666666667
4,65,0.591666666666667
4,66,0.55
4,67,0.216666666666667
4,68,0.55
4,69,0.758333333333333
4,70,0.258333333333333
5,1,0.0916666666666667
5,2,0.0916666666666667
5,3,0.216666666666667
5,4,0.0916666666666667
5,5,0.341666666666667
5,6,0.425
5,7,0.133333333333333
5,8,0.05
5,9,0.466666666666667
5,10,0.425
5,11,0.383333333333333
